----------------------- Page 1-----------------------

abandon            v./n.放弃；放纵                                            分拆联想：a+band(乐队)+on→一个乐队在演出→放纵  
slurp           v.大声地啜喝                                        无 
sly             a.狡猾的，鬼鬼祟祟的                                    无 
smarmy          a.虚情假意的                                        无 
smart           n.痛苦；a.时髦的；聪明的                                 无 
smattering      n.略知；少数                                        无 
smear           n.油渍，污点；v.弄脏，玷污                                无 
smirk           v.假笑，得意地笑                                      无 
smooth          a.光滑的；平稳的；v.弄平，使光滑；消除                          无 
smother         v.覆盖；(使)闷死                                     无 
smudge          n.渍痕；v.弄脏                                      分拆联想：s ＋mud(泥)＋ge→渍痕 
smug            a.自满的，自命不凡的                                    分拆联想：s+mug(杯子)→杯子满了 
smuggle         v.走私，私运                                        无 
snare           n.罗网，陷阱                                        无 
snarl           n./v.纠缠，混乱                                     无 
snatch          n./v.强夺，攫取                                     分拆联想：sna(看作snap迅速的)+tch(看作catch抓)→迅速地抓 
sneaking        a.秘密的，不公开的                                     无 
sneer           v.嘲笑，鄙视                                        无 
snide           a.讽刺的，含沙射影的                                    联想记忆：把n藏在一边(side)→含沙射影的，讽刺的 
snip            v.剪断                                           无 
snitch          v.告密；偷                                         分拆联想：sni(看成sin罪行)+tch→告密和偷盗都是罪行 
snobbish        a.势利眼的；假充绅士的                                   无 
snowdrift       n.雪堆                                           组合词：snow+drift(漂流物，吹积物) 
snub            v.冷落，不理睬                                       无 
snug            a.温暖的，舒适的                                      无 
soak            v.浸泡，渗透                                        分拆联想：soa(看作soap肥皂)+k→在肥皂水中浸泡 
soar            v.高飞，翱翔；猛增                                     无 
sober           a.清醒的；庄重的                                      无 
sobriety        n.节制，庄重                                        无 
sock            v.重击，痛打                                        sock作为“短袜”一意大家都熟悉 
sod             n.草地，草坪                                        联想记忆：上天(god)入地(sod) 

----------------------- Page 81-----------------------

sodden           a.浸透了的                                            无 
soggy            a.湿透的                                             无 
soil             n./v.弄脏，污损                                        soil作为土壤讲，大家都很熟悉 
solace           n.安慰，慰藉                                           词根记忆：sol(安慰)+ace→安慰 
solder           v.焊接，焊合                                           和soldier(战士)一起记 
solemn           a.严肃的，庄严的；黑色的                                     词根记忆：sol(太阳) ＋emn→古代把太阳看作是神圣的→庄严的 
solemnity        n.庄严，肃穆                                           solemn(严肃的)+ity 
solicit          v.恳求；教唆                                           词根记忆：soli( ＝sole惟一，全部)＋cit( 引出)→引出某人做事→教唆，恳求 
solicitous       a.热切的；挂念的                                         无 
solicitude       n.关怀，牵挂                                           无 
solidarity       n.团结，一致                                           词根记忆：solid( 固定的)+arity→固体状态→团结 
solidify         v.巩固，(使)凝固，(使)团结                                  词根记忆：solid( 固定的)+ify(使„)→巩固 
solitary         a.孤独的；n.隐士                                        词根记忆：solit(单独)+ary→单独的 
solitude         n.孤独                                              无 
solo             a.单独的；n.独唱                                        无 
soluble          a.可溶的；可以解决的                                       词根记忆：solu(松开)+ble 
solvent          a.有偿债能力的；n.溶剂                                     来自solve(溶化，解决)+ent 
somatic          a.肉体的                                             词根记忆：somat(躯体)+ic→躯体的 
somber           a.忧郁的；阴暗的                                         无 
sonata           n.奏鸣曲                                             词根记忆：son(声音)+ata→奏鸣曲 
sonnet           n.十四行诗                                            无 
soot             n.黑烟灰，油烟                                          无 
soothe           v.抚慰；减轻                                           无 
sop              n.泡过的食品；安慰品                                       无 
sophism          n.诡辩；诡辩法(术)                                       词根记忆：soph(智慧)+ism 
sophisticated    a.老于世故的；(仪器)精密的                                   sophist(诡辩者)+icated 
sophistication   n.诡辩，强词夺理；久经世故，老练，精明                              无 
sophistry        n.诡辩                                              无 
soporific        a.催眠的；n.安眠药                                       词根记忆：sopor( 昏睡)+ific→睡眠的 
sopping          a.浑身湿透的                                           来自sop(v.浸泡) 
sorcery          n.巫术，魔法                                           词根记忆：sorc(巫术)＋ery 
sordid           a.卑鄙的；肮脏的                                         发音记忆：“扫地的”→肮脏的 
souvenir         n.纪念品                                             分拆联想：sou(看作south) ＋venir(来的东西)→南方带回来的东西→纪念品 
sovereign        n.最高统治者，元首                                        词根记忆：sove( ＝over超过)+reign(统治) 
sovereignty      n.主权，统治权                                          无 
sow              n.母猪；v.播种                                         无 
spackle          n.填泥料(用以填塞裂缝和洞穴)                                  无 
span             n.跨度；两个界限间的距离                                     无 
spank            v.打，拍打(在屁股上)                                      无 
sparing          a.节俭的                                             来自spare(节约)+ing；注意不要和sparring(拳击)相混 
spark            n.火花，火星                                           无 
sparring         n.拳击，争斗                                           无 
sparse           a.稀少的，贫乏的                                         无 
spartan          a.简朴的；刻苦的                                         来自Spartan(斯巴达)，希腊城邦，该地区的人以简朴刻苦的态度处世 
spat             n.口角，小争论                                          不要和spit(吐痰)相混 
spate            n.大批，大量；(水)泛滥                                     无 
spatial          a.有关空间的，在空间的                                      无 
spatula          n.(调拌等用的)抹刀                                       词根记忆：spat(平)+ula→平的刀→抹刀 
spawn            n.(鱼等)卵子；v.大量生产                                   无 
spear            n.矛；嫩叶；v.刺戳                                       无 
specialize       v.专门研究                                            来自special(a.特殊的)，speci(种类)+al→(属于)种类的→特别的 
specifics        n.细小问题，细节                                         无 
specimen         n.范例，样品，标本                                        词根记忆：speci(种类)+men→种类的东西→样品 
specious         a.似是而非的；华而不实的                                     词根记忆：spec(看)+ious→用来看的→华而不实的 
speck            n.斑点；少量                                           无 
spectacular      a.壮观的，引人入胜的                                       来自spectacle(n.奇观，壮观)，spect(看)+acle(东西)→看的东西→壮观景象 
spectator        n.观众，观看者                                          无 
specter          n.鬼魂，幽灵；恐惧                                        词根记忆：spect(看)+er→看到而摸不着的东西→鬼怪 
spectral         a.幽灵的                                             无 
spectrum         n.光谱；范围                                           词根记忆：spectr(看)+um→看到颜色→光谱 
speculate        v.沉思，思索；投机                                        词根记忆：spec(看)+ulate(做得多)→看得多想得也多→思索 
speculative      a.投机的；推理的，思索的                                     无 
spell            n.连续的一段时间                                         spell还有“拼写”、“咒语”等意思 

----------------------- Page 82-----------------------

spendthrift      adj./n.挥金如土的(人)                                   组合词：spend(花费)+thrift(节约)→把节约下来的钱花掉 
spike            n.长钉，大钉                                           无 
spin             v.旋转；纺，纺纱；n.旋转                                    无 
spindly          a.细长的，纤弱的                                         来自spindle(n.纺锤，形状细长) 
spineless        a.没骨气的，懦弱的                                        spine(脊椎，刺)＋less→无脊椎的→没骨气的 
spiny            a.针状的；多刺的，棘手的                                     词根记忆：spin(刺)+y→有刺的 
spire            n.(教堂)尖顶                                          无 
spiritual        a.精神的                                             无 
spite            n.怨恨，恶意                                           词组in spite of的spite 
spleen           n.怨怒                                              无 
splendor         n.壮丽；辉煌                                           无 
splice           v.接合，衔接                                           注意不要和split(分裂)相混 
splint           n.(固定断骨的)夹板，托板                                    splint和split(分裂)有关，指裂开的木板→夹板 
split            n./v.分裂，裂开                                        无 
splurge          n.炫耀，摆阔                                           分拆联想：spl(看作splash溅水)＋urge→花钱如泼水→挥霍 
spoil            v.损坏，破坏；溺爱                                        分拆联想：sp(看作spray喷)+oil→机器没有喷油，造成损坏 
spoke            n.(车轮上)辐条                                         和speak的过去式spoke写法一样 
spongy           a.像海绵的；不坚实的                                       来自sponge(海绵)+y 
spontaneity      n.自然，自发                                           无 
spontaneous      a.自发的；自然的                                         词根记忆：spont( 自然)+aneous 
spoof            v.揶揄，嘲讽                                           联想记忆：找不到证据(proof)，只好揶揄(spoof) 
sporadic         a.不定时发生的                                          无 
sport            v.炫耀，卖弄                                           无 
sprain           v.扭伤                                              分拆联想：sp ＋rain(雨)→雨天路滑，扭伤了脚 
sprawling        a.植物蔓生的，(城市)无计划地扩展的                               无 
sprig            n.嫩枝，小枝                                           和spring(春天)一起记，春天出现嫩枝 
sprightly        a.愉快的，活泼的                                         分拆联想：spr(看作spring) ＋ightly(看作brightly明亮地)→明快的春天 
sprout           v.长出，萌芽；n.嫩芽                                      分拆联想：spr(看作spring)+out( 出)→春天来了，嫩芽长出来了 
spruce           n.云杉；a.整洁的                                        无 
spur             v.刺激，激励；用马刺刺马                                     无 
spurious         a.假的；伪造的                                          来自spuria(伪造的作品)+ous 
squabble         n.争吵                                              无 
squalid          a.污秽的，肮脏的                                         无 
squall           n.短暂、突然且猛烈的风暴；短暂的骚动                               无 
squalor          n.不洁，污秽                                           发音记忆：“四筐烂儿”→四筐破烂儿→污秽 
squander         v.浪费，挥霍                                           源自方言，因莎士比亚《威尼斯商人》一剧中用此词而广泛流传 
square           v.一致，符合；结清                                        无 
squash           v.压碎，挤压；n.南瓜                                      分拆联想：squ(看作squeeze挤)+ash(灰)→挤成灰→挤压 
squat            v.蹲下；a.矮胖的                                        无 
squeeze          v.压，挤；n.压榨，紧握                                     无 
squelch          v.压制，镇压                                           无 
squint           v.斜视                                              无 
squirrel         n.松鼠                                              无 
staccato         a.(音乐)断音的，不连贯的                                    分拆联想：st+acca+to ，记住中间的acca，似乎呈断裂状态 
stagnant         a.停滞的                                             词根记忆：stagn( ＝stand站住)+ant→不动的 
staid            a.稳重的，沉着的                                         分拆联想：sta(看作stay坚持)+id(ID身份)→坚持自己的身份→稳重的 
stain            v.玷污；染色                                           无 
stake            n.柱桩；赌注                                           无 
stale            a.不新鲜的，陈腐的                                        无 
stalemate        n.和棋局面，僵局                                         组合词：stale(无用的)＋mate(将死对方的棋)→将不死→和棋 
stalk            v.隐伏跟踪(猎物)                                        stalk作为“茎、秆”之意大家都熟悉 
stall            v.使停止，使延迟                                         无 
stalwart         a.健壮的，坚定的                                         分拆联想：stal( ＝support)+wart( ＝worth)→值得依靠的→坚定的 
stammer          v.口吃，结巴                                           无 
stamp            v./n.跺脚；在„上盖印                                     无 
stance           n.站姿；立场                                           词根记忆：stan(站)+ce 
stanch           v.制止(血液)，止住                                       词根记忆：stan(站)+ch→让(血液)站住→止住 
stanza           n.(诗)节，段                                          词根记忆：stan(站住)+za→诗停止的地方→节，段 
staple           n.主要产品                                            无 
starchy          a.含淀粉的；刻板的                                        词根记忆：starch(淀粉)＋y 
stark            a.(外表)僵硬的；完全的                                     和start(开始)一起记 
startle          v.使吃惊                                             无 
stasis           n.停滞                                              无 

----------------------- Page 83-----------------------

static            a.静态的，呆板的                                         无 
stationary        a.静止的，不动的                                         无 
statuary          n.雕像；雕塑艺术                                         来自statue(雕像)+ary 
stature           n.身高，身材                                           词根记忆：stat(站)+ure(状态)→站的状态→身高 
status            n.身分，地位                                           词根记忆：stat(站)+us→站的位置→身分 
statute           n.法规，法令                                           词根记忆：stat(站)+ute→站着的规矩→法规 
statutory         a.法定的；受法令所约束的                                     无 
steadfast         a.忠实的；不变的                                         词根记忆：stead(=stand站)+fast(稳固的) 
stealth           n.秘密的行动                                           来自steal(v.偷) 
steep             v.浸泡，浸透                                           联想记忆：和seep(渗漏)一起记→屋顶渗漏，东西全被浸泡了；此词还有“陡峭的 
                                                                    ”，大家都不陌生 

steer             v.操舵，驾驶；n.公牛，食用牛                                  无 
stellar           a.星的，星球的                                          词根记忆：stell(星星)+ar 
stem              n.(植物的)茎，叶柄；v.阻止，遏制(水流等)                          无 
stench            n.臭气，恶臭(stink)                                    注意不要和stanch(止住)相混 

stencil           n.(用以刻写图案、文字的)模板；v.用模板刻写                          分拆联想：st(看作stop)+encil(看作pencil铅笔)→停下铅笔→用模板刻写 

stentorian        a.(指声音)极响亮的                                       来自希腊神话特洛伊战争中的传令官Stentor ，其声音极其洪亮 
stereotype        n.固定形式，老套                                         词根记忆：stereo(立体)+type(形状) 
sterile           a.贫瘠且无植被的；不孕的；无细菌的                                无 
sterilize         v.使不育；杀菌                                          无 
stern             n.船尾                                              stern作为“严厉的”一意大家都熟悉 
stethoscope       n.听诊器                                             词根记忆：stetho(胸)＋scope(看)→听诊器 
stickler          n.坚持细节之人                                          来自stickle(v.坚持己见)，stick(坚持)+le 
stiff             a.僵直的，呆板的，严厉的                                     无 
stifle            v.感到窒息；抑止                                         无 
stigma            n.耻辱的标志，污点                                        无 
stigmatize        v.污蔑，玷污                                           stigma(耻辱，诋毁)+tize 
stilted           a.(文章，谈话)不自然的；夸张的                                 来自stilt(高跷)+ed 
stimulant         n.兴奋剂，刺激物                                         词根记忆：stimul(刺激)+ant→刺激物 
stimulus          n.刺激物，激励                                          复数：stimuli 
sting             v.刺痛；叮螫；n.螫刺                                      无 
stinginess        n.小气                                              无 
stingy            a.吝啬的，小气的                                         sting(刺)+y 
stint             v.吝惜，节省                                           无 
stipple           v.点画，点描                                           词根记忆：stip(点)+ple→用点画 
stipulate         v.要求以„为条件；约定                                      词根记忆：stip(点)+ulate→点明，讲定 
stipulation       n.规定，约定                                           无 
stir              v.刺激                                              stir本身是词根，有刺激之意 
stitch            n.(缝纫时的)一针，一钩；v.缝合                                无 
stock             a.普通的，惯用的；n.存货                                    stock作为“股票”；“家畜”；“储备”等意大家比较熟悉 
stockade          n.栅栏，围栏                                           stock(木头)+ade→木头做成的围栏 
stocky            a.矮胖的，粗壮的                                         stock(树桩)＋y→像树桩一样→矮胖的 
stodgy            a.乏味的                                             发音记忆：“施道的”→布道是很乏味的 
stoic             n.坚忍克己之人                                          来自希腊哲学流派Stoic(斯多葛派)，主张坚忍克己 
stoke             v.给„添加燃料                                          联想记忆：给火炉(stove)添加燃料(stoke) 
stolid            a.无动于衷的                                           solid(结实的) 中间加个t 
stomach           v.吃得下；容忍                                          无 
stonewall         v.拖延议事，设置障碍                                       无 
stout             a.肥胖的；强壮的                                         无 
stowaway          n.(藏于轮船、飞机中的)偷乘者                                  组合词：stow(装载，偷乘)+away 
straightforward   a.正直的；易懂的；直截了当的                                   无 
strand            n.绳线的一股；v.搁浅                                      无 
stranded          a.搁浅的，进退两难的                                       无 
stratagem         n.谋略，策略                                           词根记忆：strata(层次)+gem→有层次的计划→谋略 
stratify          v.(使)层化                                           词根记忆：strat(层次)+ify→层化 
stratum           n.地层；社会阶层                                         复数：strata 
stray             v.偏离，迷路；a.迷了路的；零落的                                无 
streak            n.线条，条纹；v.加线条                                     无 
stream            n.小溪；水流；v.倾注，涌流                                   无 
stretch           v.变长；伸展                                           无 
strew             v.撒，散播                                            无 
striate           v.在„加上条纹                                          联想记忆：stri(想成strip条，带)+ate→在„加上条纹 
striated          a.有条纹的                                            striate(在„上划条纹)+d→(有条纹的)；stria(条线，线条) 

----------------------- Page 84-----------------------

stricture         n.严厉谴责；束缚                                            来自strict(严格的)+ure 
stride            v.大步行走                                               无 
strident           a.尖声的，刺耳的                                           分拆联想：stri(看作stride大步走)+dent(凹痕)→大步走进凹坑传来尖声大叫 
strife            n.纷争，冲突                                              可能来自strive(v.努力，奋斗) 
striking           a.引人注目的，明显的                                         来自strike(打击)+ing 
stringent          a.(规定)严格的，苛刻的；缺钱的                                   来自string(线，绳)+ent→像用绳限制住的→严厉的 
strip             v.剥去；n.狭长的一片                                         无 
strive            v.奋斗，努力                                              分拆联想：st(看作是stress)+rive(看作是drive)→奋斗的过程需要压力和动力 
stroke            v.抚摸；n.击，打；一笔                                        无 
stroll            v.漫步，闲逛                                              分拆联想：st(看作street)+roll(转)→在大街上转悠→闲逛 
strut             v.趾高气扬地走；n.支柱                                        无 
stubborn           a.固执的；难以改变的                                         词根记忆：stub(根)+born(生)→生根 
studied            a.慎重的；认真习得的                                         无 
stuffy             a.(空气)不新鲜的，闷气的                                      stuff(填满)+y→填满的，(空气)不通气的 
stultify          v.使变得荒谬可笑；使无用                                        无 
stunning           a.极富魅力的                                             无 
stunt             v.阻碍(成长)；n.特技，绝技                                     无 
stupor            n.昏迷，不醒人事                                            词根记忆：stup(呆)+or 
sturdy             a.(身体)强健的；结实的                                       联想记忆：要想学习(study)好需要身体好(sturdy) 
stutter           n./v.口吃，结巴                                           无 
stygian            a.阴暗的，阴森森的                                          来自Styx(n.地狱冥河) 
stylus            n.铁笔                                                 无 
stymie            v.妨碍，阻挠                                              原指高尔夫球中的妨碍球 
subdue            v.征服；压制；减轻                                           词根记忆：sub(在下面)+due( ＝duce引导)→引到下面→征服 
subdued            a.(光和声)柔和的，缓和的；(人)温和的                               无 
subject           n.受支配的人，隶属                                           无 
subjective         a.主观的，想象的                                           词根记忆：subject(主题)+ive→主观的 
subjugate         v.征服，镇压                                              词根记忆：sub(下面)+jug( ＝yoke牛轭)+ate→置于牛轭之下→征服 
sublime            a.崇高的                                               词根记忆：sub(没有)+lime(看作limit限制)→没有限制→崇高的 
subliminal         a.潜意识的                                              词根记忆：sub(下面)+limin( ＝limen最小限度的神经刺激)+al 
submission        n.恭顺                                                 词根记忆：sub(下面)+miss(放)+ion→放在下面→从属，服从 
submit            v.屈服；提交，呈递                                           无 
suborn            v.收买，贿赂                                              词根记忆：sub(下面)+orn(装饰)→在下面给人好处→贿赂 
subpoena          n.(法律)传票；v.传讯                                        词根记忆：sub(下面)+poena( ＝penalty惩罚)→在惩罚下→传讯 
subsequent         a.随后的，后来的，连续的                                       词根记忆：sub(下面)+sequ(跟随)+ent→继„之后的；(天气等)平息 
subside           v.(建筑物等)下陷                                           词根记忆：sub(下面)+side(坐)→坐下去→下陷 
subsidiary         a.辅助的；次要的                                           词根记忆：sub(下面)+sid(坐)+iary→坐在下面的→辅助的 
subsidy           n.补助金                                                无 
subsistence       n.生存，生计；存在                                           subsist(生存)＋ence→生存，生计 
substance         n.大意，根据，实质；物质                                        词根记忆：sub(在„下)+stance(=stand站立)→根据 
substantial        a.坚固的，结实的；实质的                                       无 
substantiate      v.证实，确证                                              词根记忆：substant(事实；物质)+iate→用事实来证明 
substantive        a.根本的；独立存在的                                         无 
substitute        n.代替品；v.代替                                           词根记忆：sub(下面)+stitute(站)→站在下面的→代替品 
subsume           v.包含，包容                                              词根记忆：sub(下面)+sume(拿)→拿在下面→包容 
subterfuge        n.诡计，托辞                                              词根记忆：subter(私下)＋fuge(逃跑)→诡计，托辞 
subterranean       a.地下的                                               词根记忆：sub(下面)+terr(地)+anean→地下的 
subtle             a.微妙的，精巧的                                           无 
subtract          v.减去，减掉                                              词根记忆：sub(下面)+tract(拉)→拉下去→减去 
subversive         a.颠覆性的，破坏性的                                         词根记忆：sub(下面)+vers(转)+ive→转到下面的→颠覆性的 
subvert           v.颠覆，推翻                                              词根记忆：sub(下面)+vert(转)→在下面转→推翻 
succinct           a.简明的，简洁的                                           词根记忆：suc(下面)+cinct( ＝gird束起)，原指把下面的衣服束起来方便干活→简练的 
succor            v./n.救助，援助                                           词根记忆：suc(下面) ＋cor(跑)→跑到下面来→救助 
succumb           v.屈从；因„死亡                                            词根记忆：suc(下面)+cumb(躺)→躺下去→死亡 
suffice           v.足够，(食物)满足                                          词根记忆：suf(下面)+fice(做)→做出来→足够 
sufficient         a.足够的                                               无 
suffocate         v.(使)窒息而死                                            词根记忆：suf+foc(喉咙)+ate→在喉咙下面→使„窒息 
suffrage          n.选举权，投票权                                            词根记忆：suf ＋frage(表示拥护的喧闹声) 
suffragist        n.参政权扩大论者；妇女政权论者                                     分拆联想：suff ＋rag(破布)＋ist→主张穿破布的人也参政→参政权扩大论者 
suffuse           v.(色彩等)弥漫，染遍                                         词根记忆：suf+fuse(流)→流遍 
suitcase          n.手提箱，箱子                                             无 
sulky              a.生气的                                               词根记忆：sulk(生气)＋y 
sullen             a.忧郁的                                               无 

----------------------- Page 85-----------------------

sultry            a.闷热的；(人)风骚的                                         无 
summarily         adv.概括地；仓促地                                          无 
summary           n.摘要，概要；a.摘要的，简略的                                    词根记忆：sum(总和)+mary→摘要，概要 
summation         n.总结，概要；总数，合计                                        词根记忆：summ(总)+ation 
summon            v.召见；召集                                              无 
sumptuous         a.豪华的，奢侈的                                            词根记忆：sumpt(拿，取)+uous→(把钱)拿出去→奢侈的 
sunder            v.分裂，分离                                              发音记忆：“散的” 
superb            a.上乘的，出色的                                            词根记忆：super(超过)+b→超群的，出色的 
supercilious      a.目中无人的                                              词根记忆：super(超过)+cili(眉毛)+ous→超过眉毛→高傲的 
superficial       a.表面的，肤浅的                                            词根记忆：super(在„上面)+fic(做)+ial→在上面做→表面的 
superficiality    n.浅薄                                                 无 
superfluity       n.多余的量                                               无 
superfluous       a.多余的，累赘的                                            词根记忆：super(超过)+flu(流)+ous→流得过多→多余的 
superimpose       v.加在上面                                               词根记忆：super(在„上面)+impose(强加) 
superintend       v.监督                                                 词根记忆：super(在„上面)+intend(监督) 
superiority       n.优越(感)                                              来自superior(a.优越的)+ity 
supernova         n.超新星                                                词根记忆：super(超级)+nova(新星) 
supersede         v.淘汰，取代                                              词根记忆：super(在„上面)+sede(坐)→坐在别人上面→取代 
supervise         v.监督，管理                                              词根记忆：super(在„上面)+vise(看)→在上面看→监督 
supine            a.仰卧的；懒散的                                            词根记忆：sup(=super在„上面)+ine→(肚子)在上面→仰卧的 
supplant          v.排挤，取代                                              词根记忆：sup(下面)+plant(种植)→在下面种植→取代 
supple            a.伸屈自如的                                              可能是supplicate(v.恳求，求饶)的变体 
supplement        v./n.增补，补充                                           词根记忆：supple(=supply提供)+ment→提供补充 
suppliant         a.恳求的，哀求的；n.恳求者                                      无 
supplicant        n.乞求者，恳求者                                            无 
supplicate        v.恳求，乞求                                              词根记忆：sup(下面)+plic(重叠)+ate→双膝跪下→乞求 
supremacy         n.至高无上，霸权                                            无 
supreme           a.至高的；极度的                                            无 
surcharge         v.对„收取额外费用；n.附加费                                     词根记忆：sur(超过)+charge(收费)→额外的收费→附加费 
surfeit           n.(食物)过量，过度；v.使过量                                    词根记忆：sur(过分)+feit(做)→做过了头→过量 
surge             v.波涛汹涌，波动                                            无 
surgeon           n.外科医师；军医，船上的医生                                      无 
surly             a.脾气暴躁的；阴沉的                                          词根记忆：sur(=sir先生)+ly→像高高在上的先生一般 
surmise           n.推测，猜测；v.推测                                         词根记忆：sur(在„下)+mise(放)→放下想法→推测 
surmount          v.克服，战胜                                              词根记忆：sur(在„下)+mount( 山)→将山踩在脚下→克服，战胜 
surpass           v.超过                                                 词根记忆：sur(超过)+pass(通过)→在上面通过→超越 
surplus           a.过剩的；盈余的                                            词根记忆：sur(超过)+plus(加，多余的)→剩余的 
surrealism        n.超现实主义                                              词根记忆：sur(超过)+realism(现实主义) 
surrender         v.投降；放弃；归还                                           词根记忆：sur(在„下)+render(给予)→把(枪)放下来→投降 
surreptitious     a.鬼鬼祟祟的                                              词根记忆：sur+rept(爬)+itious→在下面爬 
surrogate         n.代替品；代理人                                            词根记忆：sur+rog(要求)+ate 
surveyor          n.测量员                                                survey(测量)+or 
survive           v.幸存                                                 词根记忆：sur+vive(生命)→在(事故)下面活下来→幸存 
susceptibility    n.易感性                                                无 
susceptible       a.易受影响的，脆弱的                                          词根记忆：sus+cept(接受)+ible→在下面接受→容易接受→易受影响的 
suspect           v.怀疑；n.嫌疑犯；a.可疑的                                     词根记忆：sus+pect(=spect看)→在下面看一看→怀疑 
suspend           v.暂缓，中止；吊，悬                                          词根记忆：sus+pend(挂)→挂在下面→悬挂 
suspense          n.悬念；挂念                                              无 
suspicion         n.怀疑，觉察，嫌疑                                           来自suspect(v.怀疑) 
suspicious        a.怀疑的                                                无 
sustain           v.承受(困难)，支撑(重量)                                      词根记忆：sus+tain(拿住)→在下面支撑住 
sustained         a.持久的，经久不衰的                                          无 
sustenance        n.食物，粮食；生计                                           无 
suture            n.(伤口的)缝线；v.缝合                                       无 
svelte            a.(女人)体态苗条的                                          无 
swagger           v.大摇大摆地走                                             无 
swallow           v.吞下，咽下；忍受                                           无 
swamp             n.沼泽；v.使陷入；淹没                                        无 
sway              v.摇动，摇摆；影响使改变；n.摇动                                   分拆联想：s+way(路)→从路这边到路那边→摆动 
swell             v.肿胀，增强                                              无 
sweltering        a.酷热的                                                来自swelter(v. 出大汗)；分拆联想：s+welter(打滚)+ing→热得打滚 

                                                                       联想记忆：serve(发球) 中间加w(where)→swerve发球突然改变方向后都不知道球到哪 
swerve            v.突然改变方向                                             去了 
swift             a.迅速的；敏捷的                                            无 

----------------------- Page 86-----------------------

swill             v.冲洗；痛饮                                            分拆联想：sw(看成swim)+ill→游泳之后冲个热水澡才不会生病 
swindle           v.诈骗                                               分拆联想：s ＋wind(风)＋le→四处吹风，搞诈骗 
swine             n.猪                                                s ＋wine(酒)→喝酒喝多了，就成了胖猪(swine) 
swing             v.摇摆；旋转；n.秋千                                       无 
swirl             v.旋转；n.漩                                           词根记忆：s+wirl(转) 
sybarite          n.奢侈逸乐的人                                           来自古希腊锡巴里斯城(Sybaris)，以奢侈著名 
sybaritic         a.放纵的                                              分拆联想：sy(看作see)+bar(酒吧)+itic→看着酒吧里放纵的身影 
sycophant         n.马屁精                                              词根记忆：syco(无花果)+phant(显现)→献上无花果→拍马屁者 
syllabus          n.教学纲要                                             词根记忆：syl(综合)+labus(=label标签)→把要做的事放在一起→教学纲要 
symbiosis         n.共生(关系)                                           词根记忆：sym(共同)+bio(生命)+sis→共生(关系) 
symmetry          n.对称；均衡                                            词根记忆：sym(共同)+metry(测量)→两边测量相同→对称 
symphony          n.交响乐，交响曲                                          词根记忆：sym(共同)+phon(声音)+y→交响乐 
synchronous       a.同时发生的                                            无 
syndrome          n.综合症状                                             词根记忆：syn(共同)+drome(跑)→跑到一起→综合症 
synergic          a.协同作用的                                            来自synergy(n.协同作用)，syn(共同)+erg(能量)+y→共同发挥能量→协同 
synopsis          n.摘要，概要                                            词根记忆：syn(共同)+opsis(看)→放在一起看→摘要 
synoptic          a.摘要的                                              无 
synthesis         n.综合，合成                                            无 
syringe           n.注射器                                              无 
table             v.搁置，不加考虑                                          无 
taboo             a.讳忌的；n.禁忌                                         无 
tacit             a.心照不宣的                                            注意和taciturn(沉默的)区别，tacit指心里明白但口头不说 
taciturn          a.沉默寡言的                                            无 
tackiness         n.胶粘性                                              来自tacky(a.发黏的) 
tackle            v.处理；n.滑车                                          联想记忆：想成hackle(用力劈，砍)→大刀阔斧地处理问题 
tact              n.机智；圆滑                                            无 
tactic            n.(达到目的的)手段；战术                                     词根记忆：tact(机智)+ic→手段 
tactile           a.有触觉的                                             词根记忆：tact(接触)+ile→触觉的 
tadpole           n.蝌蚪                                               词根记忆：tad(=toad蛤蟆)+pole(=head)→蛤蟆头→蝌蚪 
taking            a.楚楚动人的                                            无 
talisman          n.避邪物，护身符                                          词根记忆：talis(做仪式，驱邪)+man→避邪物，护身符 
tally             v.(使)一致，符合                                         分拆联想：t+ally(联盟)→联盟→一致 
